KDSATKER,KODE_PROGRAM,KODE_KEGIATAN,KODE_OUTPUT,KDIB,VOLUME_OUTPUT,KODE_SUBOUTPUT,VOLUME_SUBOUTPUT,KODE_KOMPONEN,KODE_SUBKOMPONEN,URAIAN_SUBKOMPONEN,KODE_AKUN,KODE_JENIS_BEBAN,KODE_CARA_TARIK,KODE_JENIS_BANTUAN,KODE_REGISTER,HEADER1,HEADER2,KODE_ITEM,NOMOR_ITEM,CONS_ITEM,URAIAN_ITEM,SUMBER_DANA,VOL_KEG_1,SAT_KEG_1,VOL_KEG_2,SAT_KEG_2,VOL_KEG_3,SAT_KEG_3,VOL_KEG_4,SAT_KEG_4,VOLKEG,SATKEG,HARGASAT,TOTAL,KODE_BLOKIR,NILAI_BLOKIR,KODE_STS_HISTORY,POK_NILAI_1,POK_NILAI_2,POK_NILAI_3,POK_NILAI_4,POK_NILAI_5,POK_NILAI_6,POK_NILAI_7,POK_NILAI_8,POK_NILAI_9,POK_NILAI_10,POK_NILAI_11,POK_NILAI_12
626402,DL,2375,ABW,00,5,002,5,051,A,"Penyediaan Materi Pelatihan Berbasis Kaji Terap",521211,A,0,A0,,0,0,1,0,1,"Snack Rapat (12 Org x 2 Kali)",A,0,,0,,0,,0,,24,ok,40000,960000,,0,B14,0,0,0,0,0,0,6320,0,0,538665,285895,129120
626402,DL,2375,ABW,00,5,002,5,051,A,"Penyediaan Materi Pelatihan Berbasis Kaji Terap",521211,A,0,A0,,0,0,2,1,2,ATK,A,0,,0,,0,,0,,1,pkt,2800000,2800000,,0,B14,0,0,0,0,0,0,18434,0,0,1571107,833860,376599
626402,DL,2375,ABW,00,5,002,5,051,A,"Penyediaan Materi Pelatihan Berbasis Kaji Terap",521211,A,0,A0,,0,0,3,2,3,"Bahan Komputer",A,0,,0,,0,,0,,1,pkt,1000000,1000000,,0,B14,0,0,0,0,0,0,6583,0,0,561110,297807,134500
626402,DL,2375,ABW,00,5,002,5,051,A,"Penyediaan Materi Pelatihan Berbasis Kaji Terap",521211,A,0,A0,,0,0,4,3,4,"Pelaporan dan Penggandaan",A,0,,0,,0,,0,,5,pkt,100000,500000,,0,B14,0,0,0,0,0,0,3292,0,0,280555,148903,67250
626402,DL,2375,ABW,00,5,002,5,051,A,"Penyediaan Materi Pelatihan Berbasis Kaji Terap",521211,A,0,A0,,0,0,5,4,5,"Bahan Kaji Terap",A,0,,0,,0,,0,,5,pkt,25165000,125825000,,0,B14,0,0,0,0,0,0,828366,0,0,70601606,37471565,16923463
626402,DL,2375,ABW,00,5,002,5,051,A,"Penyediaan Materi Pelatihan Berbasis Kaji Terap",521211,A,0,A0,,0,0,6,5,6,"Konsumsi Pertemuan (25 orang x 5 paket)",A,0,,0,,0,,0,,125,ok,65000,8125000,,0,B14,0,0,0,0,0,0,53491,0,0,4559015,2419682,1092812
626402,DL,2375,ABW,00,5,002,5,051,A,"Penyediaan Materi Pelatihan Berbasis Kaji Terap",522141,A,0,A0,,0,0,1,0,2168,"Belanja Sewa",A,0,,0,,0,,0,,5,uh,1600000,8000000,,0,B14,0,0,0,0,0,0,52668,0,0,4488876,2382456,1076000
626402,DL,2375,ABW,00,5,002,5,051,A,"Penyediaan Materi Pelatihan Berbasis Kaji Terap",522151,A,0,A0,,0,0,1,0,7,"Honorarium narasumber (3 org x 2 jam x 5 paket)",A,0,,0,,0,,0,,30,oj,900000,27000000,,0,B14,0,0,0,0,0,0,177754,0,0,15149957,8040789,3631500
626402,DL,2375,ABW,00,5,002,5,051,A,"Penyediaan Materi Pelatihan Berbasis Kaji Terap",522151,A,0,A0,,0,0,2,1,2267,"Honorarium Moderator (2 org x 5 paket)",A,0,,0,,0,,0,,10,oj,700000,7000000,,0,B14,0,0,0,0,0,0,46084,0,0,3927767,2084649,941500
626402,DL,2375,ABW,00,5,002,5,051,A,"Penyediaan Materi Pelatihan Berbasis Kaji Terap",524111,A,0,A0,,0,0,1,0,8," Transport dari DKI Jakarta ke Kab/Kota (pp)",A,0,,0,,0,,0,,10,ok,4002000,40020000,,0,B14,0,0,0,0,0,0,263471,0,0,22455603,11918236,5382690
626402,DL,2375,ABW,00,5,002,5,051,A,"Penyediaan Materi Pelatihan Berbasis Kaji Terap",524111,A,0,A0,,0,0,2,1,1458,Penginapan,A,0,,0,,0,,0,,20,OH,680000,13600000,,0,B14,0,0,0,0,0,0,89535,0,0,7631090,4050175,1829200
626402,DL,2375,ABW,00,5,002,5,051,A,"Penyediaan Materi Pelatihan Berbasis Kaji Terap",524111,A,0,A0,,0,0,3,2,1459,"Uang Harian",A,0,,0,,0,,0,,30,oh,410000,12300000,,0,B14,0,0,0,0,0,0,80977,0,0,6901647,3663026,1654350
