kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"427551","032","03212","512414","03212WA","2378","EBA","2","A","0","00000001","0601","2",64332000
"427551","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0601","2",88581000
"427551","032","03212","532111","03212DL","2376","RAN","2","A","0","00000001","0601","2",100000000
"403817","032","03212","523129","03212WA","2378","EBA","2","A","0","00000001","0855","2",261620000
"403817","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","0855","2",24960000
"403817","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","0855","2",705170000
"427573","032","03212","511619","03212WA","2378","EBA","2","A","0","00000001","0805","2",4000
"427573","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0805","2",287715000
"427573","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0805","2",56328000
"427573","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","0805","2",531991000
"403817","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0855","2",3940000
"427573","032","03212","533121","03212DL","2376","RBI","2","A","0","00000001","0805","2",199310000
"427573","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0805","2",169229000
"403823","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","1151","2",655200000
"403823","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","1151","2",143570000
"403823","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","1151","2",168915000
"652009","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","1206","2",540000000
"652009","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","1206","2",1574687000
"652009","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","1206","2",3828000
"652009","032","03212","523121","03212DL","2376","SAC","2","A","0","00000001","1206","2",45000000
"652009","032","03212","524113","03212DL","2376","SAC","2","A","0","00000001","1206","2",7500000
"652009","032","03212","521832","03212DL","2376","SAC","2","A","0","00000001","1206","2",420000000
"652009","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","1206","2",72000000
"652009","032","03212","532121","03212DL","2376","RAA","2","D","0","00000001","1206","2",198000000
"403824","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0210","2",494494000
"403824","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0210","2",7000000
"403824","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","0210","2",60456000
