kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"652009","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",16557000
"403829","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",6425000
"403879","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",12900000
"403838","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",42750000
"238755","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",496800000
"238755","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",48240000
"403837","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",88311000
"237373","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",1597000
"239188","032","03212","424113","0000000","0000","000","0","0","0","00000000","0000","2",42300000
"239188","032","03212","424118","0000000","0000","000","0","0","0","00000000","0000","2",966864000
"403875","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",2000000
"403875","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",7500000
"238741","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",12000000
"238741","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",362500000
"403828","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",1225662000
"403835","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",15000000
"403833","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",8250000
"427551","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",15264000
"427573","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",95119000
"403817","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",9750000
"652009","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",485000000
"403829","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",78125000
"403879","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",295955000
"237373","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",282645000
"239188","032","03212","424119","0000000","0000","000","0","0","0","00000000","0000","2",36200000
"622035","032","03212","424911","0000000","0000","000","0","0","0","00000000","0000","2",8900000
"427511","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",560100000
"239260","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",121800000
"427573","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",4000000
"403817","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",2875000
"403823","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",13770000
"652009","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",7260000
"653526","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",60000000
"403832","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",3760000
"403879","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",34763000
"403879","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",22350000
"427582","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",5000000
"427618","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",190150000
"427618","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",3300000
"427618","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",187900000
"427618","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",25500000
"427630","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",48250000
"634146","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",46165000
"427630","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",15840000
"403837","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",1000000
"239188","032","03212","424922","0000000","0000","000","0","0","0","00000000","0000","2",726400000
"238741","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",5500000
"440013","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",18000000
"403828","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",5000000
"427511","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",49221000
"427573","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",1168350000
"403832","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",111000000
"403829","032","03212","425439","0000000","0000","000","0","0","0","00000000","0000","2",7500000
"403830","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",177044000
"427582","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",13492000
"403839","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",176800000
"427618","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",37800000
"238755","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",72294000
"427630","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",9426000
"634146","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",4005000
"427630","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",84478000
"634146","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",11800000
"238762","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",25000000
"239188","032","03212","424112","0000000","0000","000","0","0","0","00000000","0000","2",7838080000
"403875","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",72000000
"403875","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",22500000
"403827","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",25000000
"440013","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",284015000
"403828","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",100000000
"622035","032","03212","424119","0000000","0000","000","0","0","0","00000000","0000","2",25000000
"427511","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",27600000
"427511","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",349000000
"238010","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",25000000
"403833","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",5800000
"427551","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",3100000
"403817","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",2000000
"403817","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",30999000
"652009","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",192000000
"403838","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",17002000
"403838","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",4922000
"427582","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",29141000
"403839","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",42500000
"427618","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",21900000
"634146","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",11800000
"403837","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",5200000
"238762","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",690075000
"352595","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",6087000
"403820","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",3344000
"352595","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",2750000
"239188","032","03212","424924","0000000","0000","000","0","0","0","00000000","0000","2",360000000
"239188","032","03212","424929","0000000","0000","000","0","0","0","00000000","0000","2",38400000
"440013","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",50800000
"403827","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",2000000
"622035","032","03212","424919","0000000","0000","000","0","0","0","00000000","0000","2",10300000
"622035","032","03212","424118","0000000","0000","000","0","0","0","00000000","0000","2",4643900000
"427511","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",948805000
"427511","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",739800000
"238010","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",15500000
"239260","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",46800000
"403817","032","03212","425434","0000000","0000","000","0","0","0","00000000","0000","2",3340000
"653526","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",804000000
"403832","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",293660000
"403838","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",45100000
"403839","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",160700000
"427618","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",8450000
"403837","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",40000000
"239188","032","03212","424919","0000000","0000","000","0","0","0","00000000","0000","2",492000000
"239188","032","03212","424911","0000000","0000","000","0","0","0","00000000","0000","2",29962000
"440013","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",14985000
"403827","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",522900000
"403828","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",3000000
"622035","032","03212","424923","0000000","0000","000","0","0","0","00000000","0000","2",520800000
"239260","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",20000000
"238010","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",386760000
"427551","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",87000000
"427582","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",218225000
"238755","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",64650000
"634146","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",268410000
"403837","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",91500000
"352595","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",6840000
"440013","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",62872000
"403828","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",276945000
"622035","032","03212","424112","0000000","0000","000","0","0","0","00000000","0000","2",2032200000
"427573","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",11350000
"403823","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",14400000
"403823","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",11830000
"403824","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",2000000
"634146","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",22500000
"427630","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",106995000
"403837","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",9000000
"238762","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",55800000
"427511","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",33202000
