kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"427551","032","03212","524113","03212WA","2378","EBD","2","A","0","00000001","0601","2",07/02/2024,2250000
"427551","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","0601","2",12/02/2024,5946000
"427551","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","0601","2",01/02/2024,72420
"427551","032","03212","511611","03212WA","2378","EBA","2","A","0","00000001","0601","2",01/01/2024,2966500
"403817","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0855","2",12/02/2024,11660760
"403817","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","0855","2",12/02/2024,466000
"403817","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","0855","2",06/02/2024,71689335
"427573","032","03212","512414","03212WA","2378","EBA","2","A","0","00000001","0805","2",07/02/2024,4576768
"427573","032","03212","511611","03212WA","2378","EBA","2","A","0","00000001","0805","2",01/02/2024,2966500
"403817","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0855","2",01/02/2024,2907560
"403817","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0855","2",01/02/2024,907736
"427573","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0805","2",01/02/2024,540000
"427573","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0805","2",22/02/2024,1764
"427573","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0805","2",22/02/2024,124207
"403817","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0855","2",01/01/2024,2679540
"403823","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","1151","2",01/01/2024,1177932900
"403823","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","1151","2",01/01/2024,27180000
"652009","032","03212","521219","03212DL","2376","SAC","2","A","0","00000001","1206","2",31/01/2024,1750000
"652009","032","03212","521219","03212DL","2376","SAC","2","A","0","00000001","1206","2",16/02/2024,3250000
"653526","032","03212","524111","03212WA","4345","EBC","2","A","0","00000001","0211","2",30/01/2024,14226000
"653526","032","03212","521219","03212WA","4345","EBC","2","A","0","00000001","0211","2",30/01/2024,30000000
"403824","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0210","2",13/02/2024,102
"403832","032","03212","511628","03212WA","2378","EBA","2","A","0","00000001","0211","2",13/02/2024,814000
"403832","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0211","2",13/02/2024,14629400
"403832","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0211","2",13/02/2024,1084740
"403824","032","03212","521213","03212WA","2378","EBA","2","A","0","00000001","0210","2",05/02/2024,680000
"403832","032","03212","521211","03212WA","2378","EBA","2","A","0","00000001","0211","2",07/02/2024,144000
"403824","032","03212","522119","03212WA","2378","EBA","2","A","0","00000001","0210","2",22/02/2024,3352750
"653526","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0211","2",19/01/2024,8852960
"653526","032","03212","524113","03212WA","2378","EBD","2","A","0","00000001","0211","2",19/01/2024,1200000
"653526","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0211","2",01/02/2024,13303330
"403830","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0258","2",01/02/2024,77200000
"403830","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0258","2",01/02/2024,5938440
"403829","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0252","2",01/02/2024,16002994
"403829","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","0252","2",21/02/2024,1296000
"403830","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","0258","2",01/01/2024,296650
"403830","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0258","2",01/01/2024,96243500
"403879","032","03212","521811","03212WA","2378","EBD","2","A","0","00000001","0222","2",16/02/2024,250000
"403879","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","0222","2",16/02/2024,28000
"403879","032","03212","521811","03212DL","2376","SAC","2","A","0","00000001","0222","2",22/02/2024,170485800
"403879","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","0222","2",01/02/2024,1895000
"403879","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","0222","2",26/01/2024,1301000
"403879","032","03212","521811","03212WA","2378","EBD","2","A","0","00000001","0222","2",26/01/2024,1310000
"403879","032","03212","521811","03212WA","2378","EBD","2","A","0","00000001","0222","2",23/01/2024,793400
"403879","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0222","2",16/01/2024,23
"403834","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0401","2",20/02/2024,408300
"403834","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0401","2",01/01/2024,3258900
"403826","032","03212","511622","03212WA","2378","EBA","2","A","0","00000001","2251","2",01/02/2024,52944
"403826","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","2251","2",01/02/2024,34437800
"403826","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","2251","2",05/02/2024,4568
"403826","032","03212","511622","03212WA","2378","EBA","2","A","0","00000001","2251","2",16/02/2024,8464
"403826","032","03212","511619","03212WA","2378","EBA","2","A","0","00000001","2251","2",16/02/2024,154
"403826","032","03212","522112","03212WA","2378","EBA","2","A","0","00000001","2251","2",15/02/2024,150931
"403826","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","2251","2",15/02/2024,158052
"403826","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","2251","2",23/02/2024,41200000
"403838","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","2451","2",01/02/2024,3302250
"403838","032","03212","523133","03212WA","2378","EBA","2","A","0","00000001","2451","2",19/02/2024,6485600
