kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"427551","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2024,1403192
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",07/02/2024,7200000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",06/02/2024,1920000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",16/01/2024,24180000
"238762","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",22/01/2024,1000000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",31/01/2024,13050000
"238010","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",22/01/2024,2490000
"427573","032","03212","425912","0000000","0000","000","0","D","0","00000001","0000","2",22/01/2024,24040750
"403839","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",15/01/2024,748440
"427618","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",11/01/2024,144150
"427618","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/02/2024,207576
"634146","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",06/02/2024,4109840
"403837","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2024,3594934
"403820","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/01/2024,154032
"403827","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",11/01/2024,21
"403823","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",31/01/2024,3040000
"403832","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2024,1105370
"427618","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2024,1672254
"634146","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",15/01/2024,3000000
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",13/02/2024,400000
"622035","032","03212","424923","0000000","0000","000","0","F","0","00000001","0000","2",11/01/2024,350000
"403835","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",05/02/2024,26
